dirty_name,dirty_label,name_length,word_count,has_prefix,has_suffix,is_uppercase,has_numbers,has_special_chars,prefix
Plajo midel youspan FEEDBUG L.P.,Company,32,5,False,False,False,False,True,None
Prof. tsholofelo mulder,Person,23,3,False,False,False,False,True,None
Miss Rev. Thabang Walters,Person,25,4,False,False,False,False,True,None
Mrs Aristotle Paydon,Person,20,3,False,False,False,False,False,None
URBAN MATZKE,Person,12,2,False,False,True,False,False,None
Miss CHARLES REDDY,Person,18,3,False,False,False,False,False,None
Tracey Banda,Person,12,2,False,False,False,False,False,None
Allan Kunene,Person,12,2,False,False,False,False,False,None
Dr Conrad Cupido,Person,16,3,False,False,False,False,False,None
DR Miss Mary Smit,Person,17,4,False,False,False,False,False,None
Phindile Mpofu,Person,14,2,False,False,False,False,False,None
CLOÉ BRU,Person,8,2,False,False,True,False,False,None
Hélène Trevorrow,Person,16,2,False,False,False,False,False,None
René Marx,Person,9,2,False,False,False,False,False,None
Mr. Thembi Maseko,Person,17,3,False,False,False,False,True,None
siphokazi peter,Person,15,2,False,False,False,False,False,None
morné barnes,Person,12,2,False,False,False,False,False,None
Amelia Biford,Person,13,2,False,False,False,False,False,None
Annamarie Equipment Ltd,Company,23,3,False,True,False,False,False,None
Hinda Idale,Person,11,2,False,False,False,False,False,None
Mrs reed halhead,Person,16,3,False,False,False,False,False,None
JOLYN AMSBERGER,Person,15,2,False,False,True,False,False,None
SANDER DONO,Company,11,2,False,False,True,False,False,None
theo roberts,Person,12,2,False,False,False,False,False,None
Kabelo Boshoff,Person,14,2,False,False,False,False,False,None
University of Illinois at Springfield,University,37,5,False,False,False,False,False,None
Mrs BARBEY CACCAVALE,Person,20,3,False,False,False,False,False,None
Sr. kabelo moloto,Person,17,3,False,False,False,False,True,None
Miss SCOTTI SHEARSTONE,Person,22,3,False,False,False,False,False,None
sly champley,Person,12,2,False,False,False,False,False,None
Sr. martha mkhabela,Person,19,3,False,False,False,False,True,None
NKULULEKO MOONSAMY,Person,18,2,False,False,True,False,False,None
Pietra Brogden,Person,14,2,False,False,False,False,False,None
Linkbuzz Voonix PTY LTD,Company,23,4,False,True,False,False,False,None
Shanna Wisden,Person,13,2,False,False,False,False,False,None
Miss Refilwe Cilliers,Person,21,3,False,False,False,False,False,None
Oloo Einti PTY LTD,Company,18,4,False,True,False,False,False,None
BJÖRN SILLITOE,Person,14,2,False,False,True,False,False,None
wanooka busses pl,Company,17,3,False,False,False,False,False,None
CARY YAKOB,Person,10,2,False,False,True,False,False,None
Nonkululeko Bailey,Person,18,2,False,False,False,False,False,None
Godwin Swinden,Person,14,2,False,False,False,False,False,None
Doe O'crowley,Person,13,2,False,False,False,False,True,None
DR Henry Venter,Person,15,3,False,False,False,False,False,None
Andiswa Van Heerden,Person,19,3,False,False,False,False,False,None
Burt Abendroth,Person,14,2,False,False,False,False,False,None
Mrs. Veronica Bekker,Person,20,3,False,False,False,False,True,None
André Robertson,Person,15,2,False,False,False,False,False,None
PROF. FREDERICK TURNER,Company,22,3,True,False,True,False,True,PROF.
Gerhard Esterhuizen,Person,19,2,False,False,False,False,False,None
Rosalinde Mawditt,Person,17,2,False,False,False,False,False,None
Dr. Bongani Harmse,Person,18,3,False,False,False,False,True,None
sarah maake,Person,11,2,False,False,False,False,False,None
Natalie Swanepoel,Person,17,2,False,False,False,False,False,None
NIKITA HATTERSLAY,Person,17,2,False,False,True,False,False,None
Audry Meltetal,Person,14,2,False,False,False,False,False,None
Frans Manuel,Person,12,2,False,False,False,False,False,None
Marcellina Bardey,Person,17,2,False,False,False,False,False,None
Lesley Johnson,Person,14,2,False,False,False,False,False,None
MISS Katlego Müller,Person,19,3,False,False,False,False,False,None
Candice Samuels,Company,15,2,False,False,False,False,False,None
Ardyth Spalding,Person,15,2,False,False,False,False,False,None
Dante Bricket,Person,13,2,False,False,False,False,False,None
janella bromley,Person,15,2,False,False,False,False,False,None
Wendye De Gregoli,Person,17,3,False,False,False,False,False,None
Miss Casey Thraves,Person,18,3,False,False,False,False,False,None
Kagawa University,University,17,2,False,False,False,False,False,None
MISS neil truter,Person,16,3,False,False,False,False,False,None
Dr. Claire Zuma,Person,15,3,False,False,False,False,True,None
Mr RIOBARD WAISTELL,Person,19,3,False,False,False,False,False,None
SALIXEN INVESTMENTS LTD,Company,23,3,False,True,True,False,False,None
Dr Elisabetta McNirlin,Person,22,3,False,False,False,False,False,None
Mrs GAÏA MOWSLEY,Person,16,3,False,False,False,False,False,None
Dr. Muhammad Ally,Person,17,3,False,False,False,False,True,None
kagiso schutte,Person,14,2,False,False,False,False,False,None
babbleset Youopia shuffledrive L.P.,Company,35,4,False,False,False,False,True,None
abc mining and industrial supplies cc,Person,37,6,False,False,False,False,False,None
Hon. Herman Moodley,Person,19,3,False,False,False,False,True,None
RUTH ABRAHAMS,Person,13,2,False,False,True,False,False,None
Dr ODETTE CLOWS,Person,15,3,False,False,False,False,False,None
Faîtes Towndrow,Person,15,2,False,False,False,False,False,None
douglas potgieter,Person,17,2,False,False,False,False,False,None
miss Vuyokazi Opperman,Person,22,3,False,False,False,False,False,None
Zava MYCAT FEEDMIX PLC.,Company,23,4,False,False,False,False,True,None
Dr. Simphiwe Move,Person,17,3,False,False,False,False,True,None
Gabriel Rossouw,Person,15,2,False,False,False,False,False,None
VINCENT STEYN,Person,13,2,False,False,True,False,False,None
Skiba trudoo VOOLITH TOPICSHOTS Partnership,Company,43,5,False,False,False,False,False,None
MR monica irdale,Person,16,3,False,False,False,False,False,None
Giraldo Desquesnes,Person,18,2,False,False,False,False,False,None
Neo Jacobs,Person,10,2,False,False,False,False,False,None
Hon. Kobus Kumalo,Person,17,3,False,False,False,False,True,None
GIORGIO SCHOUT,Person,14,2,False,False,True,False,False,None
nthabiseng nkabinde,Person,19,2,False,False,False,False,False,None
MS JEROME MNISI,Person,15,3,False,False,True,False,False,None
MAÏLIS HOWICK,Person,13,2,False,False,True,False,False,None
Browsetype ntags Vimbo Fd,Company,25,4,False,False,False,False,False,None
Mr Clerissa Mapis,Person,17,3,False,False,False,False,False,None
Ian Evans,Person,9,2,False,False,False,False,False,None
DR Yénora Riping,Person,16,3,False,False,False,False,False,None
DEFINED HOLDINGS (PTY) LTD.,Company,27,4,False,True,True,False,True,None
Léandre Ortells,Person,15,2,False,False,False,False,False,None
DUFF FORRE,Person,10,2,False,False,True,False,False,None
holt cuffin,Person,11,2,False,False,False,False,False,None
TAKALANI KHANYILE,Person,17,2,False,False,True,False,False,None
Hon. Itumeleng Masango,Person,22,3,False,False,False,False,True,None
Ms. Ursula De Villiers,Person,22,4,False,False,False,False,True,None
Kayveo Kazio mybuzz Co,Company,22,4,False,False,False,False,False,None
Sibusiso Nair,Person,13,2,False,False,False,False,False,None
katie sutherns,Person,14,2,False,False,False,False,False,None
Teboho Ngema,Person,12,2,False,False,False,False,False,None
Mrs. Muhammad Gordon,Person,20,3,False,False,False,False,True,None
MR. STEVEN DE BRUYN,Person,19,4,True,False,True,False,True,MR.
Mr buffy clinning,Person,17,3,False,False,False,False,False,None
yvette bosman,Person,13,2,False,False,False,False,False,None
Prof. Christian Reddy,Person,21,3,False,False,False,False,True,None
CARLA BOTHA,Person,11,2,False,False,True,False,False,None
marthinus mnisi,Person,15,2,False,False,False,False,False,None
RODD MCGOOKIN,Person,13,2,False,False,True,False,False,None
takalani jacobs,Person,15,2,False,False,False,False,False,None
MRS gary munyai,Person,15,3,False,False,False,False,False,None
DENYSE KIDNEY,Person,13,2,False,False,True,False,False,None
AGILIS INTERNATIONAL PTY LTD,Person,28,4,False,True,True,False,False,None
Theodore Fund 8 Rf Ltd,Company,22,5,False,True,False,True,False,None
DR Maïly Snoxell,Person,16,3,False,False,False,False,False,None
Maï Konrad,Person,10,2,False,False,False,False,False,None
wheeler haughian,Person,16,2,False,False,False,False,False,None
miss Isa Armit,Person,14,3,False,False,False,False,False,None
GORDON VAN DER WESTHUIZEN,Person,25,4,False,False,True,False,False,None
Hardy Lawles,Person,12,2,False,False,False,False,False,None
willem walters,Person,14,2,False,False,False,False,False,None
Devcast LLC.,Company,12,2,False,True,False,False,True,None
Francesca Tilio,Person,15,2,False,False,False,False,False,None
MISS östen varty,Person,16,3,False,False,False,False,False,None
KEITH NGOBENI,Person,13,2,False,False,True,False,False,None
rev. heinrich mthombeni,Person,23,3,False,False,False,False,True,None
NADÈGE RENIHAN,Person,14,2,False,False,True,False,False,None
Wordtune realcube Jayo Youbridge Fd,Company,35,5,False,False,False,False,False,None
Yerevan State Medical University,University,32,4,False,False,False,False,False,None
SANDRO TRESLER,Person,14,2,False,False,True,False,False,None
DR. kane caygill,Person,16,3,True,False,False,False,True,DR.
MRS Marie-josée Faircley,Person,24,3,False,False,False,False,True,None
tsholofelo mabena,Person,17,2,False,False,False,False,False,None
Kobus Singh,Person,11,2,False,False,False,False,False,None
Beret Panner,Person,12,2,False,False,False,False,False,None
Oba Topiclounge quamba yombu Proprietary Limited,Company,48,6,False,False,False,False,False,None
Sr. AMORY PEDDIE,Person,16,3,False,False,False,False,True,None
THOUGHTBEAT L.L.P,Company,17,2,False,False,True,False,True,None
EQUITES PTY LTD,Company,15,3,False,True,True,False,False,None
irene van niekerk,Person,17,3,False,False,False,False,False,None
Shayne Kippins,Person,14,2,False,False,False,False,False,None
nicolene ntshangase,Person,19,2,False,False,False,False,False,None
Mr. Mduduzi Loubser,Person,19,3,False,False,False,False,True,None
jerome groenewald,Person,17,2,False,False,False,False,False,None
DR. PROF. DONALD MATHEBULA,Person,26,4,True,False,True,False,True,DR.
Irene Taylor,Person,12,2,False,False,False,False,False,None
Counterpoint Engineering And Mining Cc,Company,38,5,False,False,False,False,False,None
PROF. MARC TERBLANCHE,Person,21,3,True,False,True,False,True,PROF.
Jacquette Dike,Person,14,2,False,False,False,False,False,None
Lothario Solloway,Person,17,2,False,False,False,False,False,None
Kial Archbell,Person,13,2,False,False,False,False,False,None
MR. BRETT ROBINSON,Person,18,3,True,False,True,False,True,MR.
Zondra Janos,Company,12,2,False,False,False,False,False,None
James Walker,Person,12,2,False,False,False,False,False,None
Coates Johnson Johnsons Pty Ltd.,Company,32,5,False,True,False,False,True,None
Michael Salie,Person,13,2,False,False,False,False,False,None
Arch Hinstridge,Person,15,2,False,False,False,False,False,None
Louis Pietersma,Company,15,2,False,False,False,False,False,None
ALOÏS NOAKES,Person,12,2,False,False,True,False,False,None
Geneviève Perillo,Person,17,2,False,False,False,False,False,None
Mr. STUART JONKER,Person,17,3,False,False,False,False,True,None
RONALD MALINGA,Person,14,2,False,False,True,False,False,None
PROF. YOUR HADEBE,Person,17,3,True,False,True,False,True,PROF.
gayler wellwood,Person,15,2,False,False,False,False,False,None
Yabox EAYO Avamm PHOTOJAM Bond,Company,30,5,False,False,False,False,False,None
Sr. Ulysses Mothersdale,Person,23,3,False,False,False,False,True,None
Personnalisée Grafhom,Person,21,2,False,False,False,False,False,None
janine cassim,Person,13,2,False,False,False,False,False,None
twitterlist Yodel Vinte photospace L.L.P,Company,40,5,False,False,False,False,True,None
VUYOKAZI LABUSCHAGNE,Person,20,2,False,False,True,False,False,None
Mrs. Tracey May,Person,15,3,False,False,False,False,True,None
Voomm EDGECLUB Janyx Fund,Company,25,4,False,False,False,False,False,None
Miss CHANCEY VALSLER,Person,20,3,False,False,False,False,False,None
danièle o'concannon,Person,19,2,False,False,False,False,True,None
gordon joubert,Person,14,2,False,False,False,False,False,None
jamey berthon,Person,13,2,False,False,False,False,False,None
FIVESPAN SKYVU Skidoo meetz PLLC.,Company,33,5,False,False,False,False,True,None
DR. miss natalie van heerden,Person,28,5,True,False,False,False,True,DR.
AMBROSIUS BURGAN,Person,16,2,False,False,True,False,False,None
TILDY ROBET,Person,11,2,False,False,True,False,False,None
Dù Smogur,Person,9,2,False,False,False,False,False,None
Mr. BENJY CORNELLEAU,Person,20,3,False,False,False,False,True,None
Bil Smallcombe,Person,14,2,False,False,False,False,False,None
meridel frenzl,Person,14,2,False,False,False,False,False,None
walter louw,Person,11,2,False,False,False,False,False,None
Marie Josée Madsen,Person,18,3,False,False,False,False,False,None
Zoozzy Private,Company,14,2,False,False,False,False,False,None
jacobus moagi,Person,13,2,False,False,False,False,False,None
alejandra farnon,Person,16,2,False,False,False,False,False,None
MRS Barbara Mngomezulu,Person,22,3,False,False,False,False,False,None
Sr. Dr. Barend Hanekom,Person,22,4,False,False,False,False,True,None
werner mahlangu,Person,15,2,False,False,False,False,False,None
LAWRENCE MUNYAI,Person,15,2,False,False,True,False,False,None
Miss Shaun Dhlamini,Person,19,3,False,False,False,False,False,None
clary brownlow,Person,14,2,False,False,False,False,False,None
Refiloe Zondi,Company,13,2,False,False,False,False,False,None
University of Illinois at Urbana-Champaign,University,42,5,False,False,False,False,True,None
babalwa lourens,Person,15,2,False,False,False,False,False,None
hon. dumisani matthews,Person,22,3,False,False,False,False,True,None
hon. hennie edwards,Person,19,3,False,False,False,False,True,None
REFILOE MSOMI,Person,13,2,False,False,True,False,False,None
Dr Hon. Terence Maleka,Person,22,4,False,False,False,False,True,None
Rev. Mr. Jansen Van Rensburg,Person,28,5,False,False,False,False,True,None
dominga stolberger,Person,18,2,False,False,False,False,False,None
Mr. Bing Marques,Person,16,3,False,False,False,False,True,None
FULTON RIVEL,Person,12,2,False,False,True,False,False,None
Rev. Sello Sibeko,Person,17,3,False,False,False,False,True,None
allan hall,Person,10,2,False,False,False,False,False,None
Mr. Mr. Arnold Harmse,Person,21,4,False,False,False,False,True,None
Prof. Nompumelelo Sibiya,Company,24,3,False,False,False,False,True,None
american university of tirana,University,29,4,False,False,False,False,False,None
Nozipho Mahomed,Person,15,2,False,False,False,False,False,None
Dr. Deon Steenkamp,Person,18,3,False,False,False,False,True,None
Prof. Lesego Dlamini,Person,20,3,False,False,False,False,True,None
cléopatre zannuto,Person,17,2,False,False,False,False,False,None
WILLIAM NKOMO,Person,13,2,False,False,True,False,False,None
miss Zahara Hancke,Person,18,3,False,False,False,False,False,None
miss Cecile Haburne,Person,19,3,False,False,False,False,False,None
gabcube BRIGHTDOG Zava Janyx Jv Co.,Company,35,6,False,False,False,False,True,None
Nadia Groenewald,Person,16,2,False,False,False,False,False,None
Sr. ROSABELLA BULFOY,Person,20,3,False,False,False,False,True,None
Instituto Superior Politécnico Gaya,University,35,4,False,False,False,False,False,None
PROF. REFILWE VORSTER,Person,21,3,True,False,True,False,True,PROF.
HON. HENRY VILJOEN,Person,18,3,True,False,True,False,True,HON.
Steve Rautenbach,Person,16,2,False,False,False,False,False,None
Eléa Bigly,Company,10,2,False,False,False,False,False,None
Hendrik Maluleke,Person,16,2,False,False,False,False,False,None
MERRILY FORDER,Person,14,2,False,False,True,False,False,None
Vernon Kok,Company,10,2,False,False,False,False,False,None
Susan Clark,Person,11,2,False,False,False,False,False,None
Sr. Colan Loidl,Person,15,3,False,False,False,False,True,None
MR mr. arnold burger,Person,20,4,False,False,False,False,True,None
Marsh Latimer,Person,13,2,False,False,False,False,False,None
prudence nell,Person,13,2,False,False,False,False,False,None
metalbox za divpac ct br,Company,24,5,False,False,False,False,False,None
Zoonder Youtags Zava Corp.,Company,26,4,False,True,False,False,True,None
Duduzile Kunene,Person,15,2,False,False,False,False,False,None
Nonhlanhla Motaung,Person,18,2,False,False,False,False,False,None
HON. PERSONAL WILLIAMS,Person,22,3,True,False,True,False,True,HON.
sherwin stockoe,Person,15,2,False,False,False,False,False,None
Sr. LOREE GATWARD,Person,17,3,False,False,False,False,True,None
BUSISIWE MOTSEPE,Person,16,2,False,False,True,False,False,None
Constantino Costanza,Person,20,2,False,False,False,False,False,None
Janet Walters,Person,13,2,False,False,False,False,False,None
tania goosen,Person,12,2,False,False,False,False,False,None
Hanzehogeschool Groningen,University,25,2,False,False,False,False,False,None
ardine raithbie,Person,15,2,False,False,False,False,False,None
ruì karlolak,Person,12,2,False,False,False,False,False,None
DR LORÈNE PLATTS,Person,16,3,False,False,True,False,False,None
Kevin Miller,Person,12,2,False,False,False,False,False,None
STUART MARAIS,Person,13,2,False,False,True,False,False,None
Miss mark coetzee,Person,17,3,False,False,False,False,False,None
CÉLESTINE SPRULLS,Person,17,2,False,False,True,False,False,None
benjamin jansen van rensburg,Person,28,4,False,False,False,False,False,None
Jillane Cambden,Person,15,2,False,False,False,False,False,None
April Halburton,Person,15,2,False,False,False,False,False,None
Miss Kelebogile Masilela,Person,24,3,False,False,False,False,False,None
Gaven Westrope,Person,14,2,False,False,False,False,False,None
Mr. Johann Butler,Person,17,3,False,False,False,False,True,None
AUBREY PILLAY,Person,13,2,False,False,True,False,False,None
kazu kanoodle Corp.,Company,19,3,False,True,False,False,True,None
SIBUSISO DA SILVA,Person,17,3,False,False,True,False,False,None
Alethea Byrch,Person,13,2,False,False,False,False,False,None
KELCI AUDAS,Person,11,2,False,False,True,False,False,None
Orsa Barkley,Person,12,2,False,False,False,False,False,None
JAMES GELDENHUYS,Person,16,2,False,False,True,False,False,None
Caitrin Bonhome,Person,15,2,False,False,False,False,False,None
Harv Mac Andrew,Person,15,3,False,False,False,False,False,None
prof. jonathan hall,Person,19,3,False,False,False,False,True,None
DR Börje Dungey,Person,15,3,False,False,False,False,False,None
Miss charlena feaveer,Person,21,3,False,False,False,False,False,None
Mr. Dr. Theresa Msomi,Person,21,4,False,False,False,False,True,None
Rodney Murray,Person,13,2,False,False,False,False,False,None
Sr. Rev. Albert Blignaut,Person,24,4,False,False,False,False,True,None
REV. SAMANTHA LOMBARD,Person,21,3,True,False,True,False,True,REV.
rubber bride pl,Company,15,3,False,False,False,False,False,None
DR. dr. christo mathebula,Person,25,4,True,False,False,False,True,DR.
Rolando Adriaens,Person,16,2,False,False,False,False,False,None
Dr. Albert Edwards,Person,18,3,False,False,False,False,True,None
Mr. Nance Eggleton,Person,18,3,False,False,False,False,True,None
Dazzlesphere Pixope Funds,Person,25,3,False,False,False,False,False,None
SEAMUS HUTCHIN,Person,14,2,False,False,True,False,False,None
Mr. Garth Shezi,Person,15,3,False,False,False,False,True,None
MAHÉLIE BUSCHER,Person,15,2,False,False,True,False,False,None
Peter Neethling,Person,15,2,False,False,False,False,False,None
Mrs KELEBOGILE VOSLOO,Person,21,3,False,False,False,False,False,None
MR ANNAMARIA FORES,Person,18,3,False,False,True,False,False,None
African Investments Pl,Company,22,3,False,False,False,False,False,None
YACERO oyoba UnLtd,Company,18,3,False,False,False,False,False,None
Yolandi Ngubane,Person,15,2,False,False,False,False,False,None
Hyacinthe Mc Keveney,Person,20,3,False,False,False,False,False,None
Miss Danie Van Niekerk,Person,22,4,False,False,False,False,False,None
åslög starbucke,Person,15,2,False,False,False,False,False,None
Videllone Ltd,Company,13,2,False,True,False,False,False,None
DR Dr. Nicolette Steyn,Person,22,4,False,False,False,False,True,None
jackie maluleka,Person,15,2,False,False,False,False,False,None
Nomi Compford,Person,13,2,False,False,False,False,False,None
Mr. teodora fenix,Person,17,3,False,False,False,False,True,None
NEXT EBRAHIM,Person,12,2,False,False,True,False,False,None
MR Norine Kinnear,Person,17,3,False,False,False,False,False,None
Timmy Whyler,Person,12,2,False,False,False,False,False,None
Mrs BÉRÉNICE BROOKTON,Person,21,3,False,False,False,False,False,None
DR. Prof. Nonkululeko Davids,Person,28,4,True,False,False,False,True,DR.
MS Irene Harris,Person,15,3,False,False,False,False,False,None
lynette mouton,Person,14,2,False,False,False,False,False,None
Ronel Motaung,Person,13,2,False,False,False,False,False,None
MRS corry ashness,Person,17,3,False,False,False,False,False,None
Miss Gregory Cobain,Person,19,3,False,False,False,False,False,None
PIM Seed Stable Fund Grindrod,Company,29,5,False,False,False,False,False,None
Charo Bozworth,Person,14,2,False,False,False,False,False,None
Sr. LYSSA METCALFE,Person,18,3,False,False,False,False,True,None
Meejo Photolist aibox Gmbh Co.,Company,30,5,False,False,False,False,True,None
Lynette Moyo,Person,12,2,False,False,False,False,False,None
HAYDON HATCHELL,Person,15,2,False,False,True,False,False,None
NONKULULEKO PETERS,Person,18,2,False,False,True,False,False,None
francis marais,Person,14,2,False,False,False,False,False,None
mrs. lynette jordaan,Person,20,3,False,False,False,False,True,None
GÉRALDINE HEAPS,Person,15,2,False,False,True,False,False,None
jamia quinu thoughtmix S.P.,Company,27,4,False,False,False,False,True,None
miss Bo Dimont,Person,14,3,False,False,False,False,False,None
Keir Mazzei,Person,11,2,False,False,False,False,False,None
Karyn D'antoni,Person,14,2,False,False,False,False,True,None
CELEBRITIES SERVICES AFRICA PTY LTD,Company,35,5,False,True,True,False,False,None
Hon. Maureen Joseph,Person,19,3,False,False,False,False,True,None
Mrs werner hoosen,Person,17,3,False,False,False,False,False,None
Flashdog Bubbletube Stg,Company,23,3,False,False,False,False,False,None
Hube Redhills,Person,13,2,False,False,False,False,False,None
Zechariah Tuckey,Person,16,2,False,False,False,False,False,None
MS Matthew Mkhize,Person,17,3,False,False,False,False,False,None
Nozipho Cloete,Person,14,2,False,False,False,False,False,None
Thabang Campbell,Person,16,2,False,False,False,False,False,None
Magdalène Gartan,Person,16,2,False,False,False,False,False,None
Charmaine Mohlala,Person,17,2,False,False,False,False,False,None
Dr NEVSA WINRIDGE,Person,17,3,False,False,False,False,False,None
Mduduzi Zulu,Person,12,2,False,False,False,False,False,None
Marthinus Meyer,Person,15,2,False,False,False,False,False,None
Miss xolani roberts,Person,19,3,False,False,False,False,False,None
PROF. HENNIE VORSTER,Person,20,3,True,False,True,False,True,PROF.
AMANDA GOODSHIP,Person,15,2,False,False,True,False,False,None
YOLANDI MASHIGO,Person,15,2,False,False,True,False,False,None
MISS ELIZABETH SWART,Person,20,3,False,False,True,False,False,None
DR Mr. Lesego Steyn,Person,19,4,False,False,False,False,True,None
zimbabwe open university,University,24,3,False,False,False,False,False,None
leigh van deventer,Person,18,3,False,False,False,False,False,None
MISS ELIZABETH THOMPSON,Person,23,3,False,False,True,False,False,None
INGRID DUNBABIN,Person,15,2,False,False,True,False,False,None
Joaquin Severwright,Person,19,2,False,False,False,False,False,None
Mr. edwin baker,Person,15,3,False,False,False,False,True,None
Universidad Católica Anselmo Llorente,University,37,4,False,False,False,False,False,None
Mr Waneta Vaughan,Person,17,3,False,False,False,False,False,None
Miss MS. THERESA MOORE,Person,22,4,False,False,False,False,True,None
miranda vicent,Person,14,2,False,False,False,False,False,None
Mary Moorfield,Person,14,2,False,False,False,False,False,None
Mr. MRS. SAMANTHA MKHWANAZI,Company,27,4,False,False,False,False,True,None
GAYE DITCH,Person,10,2,False,False,True,False,False,None
KAOKO TRADING PL,Company,16,3,False,False,True,False,False,None
eustacia yerbury,Person,16,2,False,False,False,False,False,None
simphiwe harmse,Person,15,2,False,False,False,False,False,None
nonna staig,Person,11,2,False,False,False,False,False,None
clayson thoumasson,Person,18,2,False,False,False,False,False,None
Fatima Matlala,Person,14,2,False,False,False,False,False,None
TRACEY PARKER,Person,13,2,False,False,True,False,False,None
Prof. Julian Dladla,Person,19,3,False,False,False,False,True,None
REV. GREG GROBBELAAR,Person,20,3,True,False,True,False,True,REV.
MAÏTÉ HOVENDEN,Person,14,2,False,False,True,False,False,None
Stephanie Majola,Person,16,2,False,False,False,False,False,None
gerhardine annes,Person,16,2,False,False,False,False,False,None
Sterne Benian,Person,13,2,False,False,False,False,False,None
robert nene,Person,11,2,False,False,False,False,False,None
Fan Eglise,Person,10,2,False,False,False,False,False,None
helen conradie,Person,14,2,False,False,False,False,False,None
Mrs. Tshepiso Manamela,Person,22,3,False,False,False,False,True,None
DR idette tribbeck,Person,18,3,False,False,False,False,False,None
Mrs. Gabriel Govender,Person,21,3,False,False,False,False,True,None
